,id,text,created_at,lang,city_district
92,1474902950338170880,"I love the people living in Straße der Pariser Kommune, they are so optimistic. #Berlin #Kreuzberg #Friedrichshain",2021-12-26T00:40:40.000Z,en,Kreuzberg
93,1474872803945947137,"I love the people living in Schenkendorfstraße, they read a lot. #Berlin #Kreuzberg #Friedrichshain",2021-12-25T22:40:52.000Z,en,Kreuzberg
94,1474676578651021313,"I love the people living in Schwiebusser Straße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",2021-12-25T09:41:09.000Z,en,Kreuzberg
95,1474510533172752384,"I love the people living in Jessnerstraße, they wear great shoes. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T22:41:20.000Z,en,Kreuzberg
96,1474493689615437826,"@hoyer_kat When we first moved to Kreuzberg in 1991, we saw so many Vietnamese folks selling cigarettes on street corners in the former DDR.   All countries exploit who they can, when they can.",2021-12-24T21:34:25.000Z,en,Kreuzberg
97,1474465280864632834,"I love the people living in Ruhlsdorfer Straße, they are specialized in nail clippers. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T19:41:31.000Z,en,Kreuzberg
98,1474450237037027328,"I love the people living in Lobeckstraße, they know really good jokes. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T18:41:45.000Z,en,Kreuzberg
99,1474405321196011524,Gesundbrunnen Bunker has the best beefy chickpea fritter oozing with coffees in Kreuzberg #Berlin,2021-12-24T15:43:16.000Z,en,Kreuzberg
100,1474399409920266244,@WonderfulDest also in #kreuzberg,2021-12-24T15:19:46.000Z,en,Kreuzberg
101,1474312239565840385,@Kreuzberg_und if u send them to me i’ll laugh at them with u 🥺,2021-12-24T09:33:23.000Z,en,Kreuzberg
102,1474226295961649157,The streets of Kreuzberg boast some of the cheapest pickled Berliner Kindls in the world,2021-12-24T03:51:53.000Z,en,Kreuzberg
103,1474193535226187788,"I love the people living in Lausitzer Platz, they change a tyre in no time. #Berlin #Kreuzberg #Friedrichshain",2021-12-24T01:41:42.000Z,en,Kreuzberg
104,1474163274639765504,"I love the people living in Zimmerstraße, they are specialized in sketch pads. #Berlin #Kreuzberg #Friedrichshain",2021-12-23T23:41:27.000Z,en,Kreuzberg
105,1474068503812521986,"@chaircrusher also Kreuzberg and West Berlin to a smaller extent historically are much more friendly to the US than other parts of Western Europe, which makes the transition from the US to Europe much easier.",2021-12-23T17:24:52.000Z,en,Kreuzberg
106,1474065910109511684,"@y7nlwz the Kurdish community is barely there anymore but the only constant through Berlin's history in the past 70+ years it the US occupation of Kreuzberg. 

This is what yt Americans (especially New Yorkers) who rant about Berlin don't get.",2021-12-23T17:14:34.000Z,en,Kreuzberg
107,1474065076051226629,"so great in Kreuzberg, everybody left and its quiet, no tourist, no ppl, just a few other humans left who dont care about xmas – best time of the year in berlin, besides summer.",2021-12-23T17:11:15.000Z,en,Kreuzberg
108,1474065065624154115,I don't count Berlin as a European cultural center since I've been European for longer than Berlin and as far as I'm concerned Kreuzberg is still occupied US territory.,2021-12-23T17:11:13.000Z,en,Kreuzberg
109,1474058083114663944,Dafuck was I thinking Kreuzberg is the best place to live in Berlin? I love it here in Samariterkiez.,2021-12-23T16:43:28.000Z,en,Kreuzberg
110,1474053882905075713,@comedordexis @_ediri @danpopnyc The one at Hackescher Markt definitely. I like the one next to our office in Kreuzberg though. But then I have not tried those being recommended here so looking forward to discovering the next level.,2021-12-23T16:26:46.000Z,en,Kreuzberg
111,1473983080742281218,"I love the people living in Fidicinstraße, they wear great shoes. #Berlin #Kreuzberg #Friedrichshain",2021-12-23T11:45:26.000Z,en,Kreuzberg
112,1473970414242209794,"@puns_n_roses @jay_w_miller Horrifying. 

Might better off ASAP, and I'd say Kreuzberg for location.",2021-12-23T10:55:06.000Z,en,Kreuzberg
113,1473882562682822656,@Kreuzberg_und yati same wavelength,2021-12-23T05:06:01.000Z,en,Kreuzberg
114,1473831216142901250,"I love the people living in Mariannenstraße, they are phenomenal. #Berlin #Kreuzberg #Friedrichshain",2021-12-23T01:41:59.000Z,en,Kreuzberg
115,1473651827681943559,"RT @CarinoBRLN: I love the people living in Niederkirchnerstraße, they like to beat food with a whisk. #Berlin #Kreuzberg #Friedrichshain",2021-12-22T13:49:09.000Z,en,Kreuzberg
116,1473650768120991745,"I love the people living in Niederkirchnerstraße, they like to beat food with a whisk. #Berlin #Kreuzberg #Friedrichshain",2021-12-22T13:44:56.000Z,en,Kreuzberg
117,1475916780543561737,Now Playing: Deadbeat - Xberg Ghosts,2021-12-28T19:49:16.000Z,en,Kreuzberg
118,1474304445878095887,"We're off to Ireland (50% of us are already there) for the first Christmas in a few years.
We wish all our customers, family, friends and colleagues a happy Christmas &amp; a peaceful, happy, healthy and more equal New Year.
See you in our new shop in Xberg some time mid January.",2021-12-24T09:02:25.000Z,en,Kreuzberg
119,1473761258209959938,Now Playing: Deadbeat - Xberg Ghosts,2021-12-22T21:03:59.000Z,en,Kreuzberg
120,1475914884990713860,"I love the people living in Schmollerstraße, they eat ripe fruits. #Berlin #Treptow #Koepenick",2021-12-28T19:41:44.000Z,en,Köpenick
121,1475840174776983552,"I love the people living in Dahlwitzer Landstraße, they would tell you all about pool sticks. #Berlin #Treptow #Koepenick",2021-12-28T14:44:52.000Z,en,Köpenick
122,1475724567616258048,"I love the people living in Keplerstraße, they know everything about candy wrappers. #Berlin #Treptow #Koepenick",2021-12-28T07:05:29.000Z,en,Köpenick
123,1475507730878246931,"I love the people living in Wiesenpromenade, they have nice tea-cups. #Berlin #Treptow #Koepenick",2021-12-27T16:43:51.000Z,en,Köpenick
124,1474995067953704961,"I love the people living in Frauenlobstraße, they know how to unclog almost any drain. #Berlin #Treptow #Koepenick",2021-12-26T06:46:42.000Z,en,Köpenick
125,1474582235860942855,@jonricLFC Good morning - it's 4 o'clock in Berlin / Koepenick and I haven't closed my eyes yet ... I'm looking at my X-Mas tree and drinking an Irish whiskey 💪🥃,2021-12-25T03:26:16.000Z,en,Köpenick
126,1474420005127163904,"I love the people living in Am Kiesberg, they can blink both eyes at the same time. #Berlin #Treptow #Koepenick",2021-12-24T16:41:37.000Z,en,Köpenick
127,1474238975933968384,"I love the people living in Pestalozzistraße, they are good at woodcarving. #Berlin #Treptow #Koepenick",2021-12-24T04:42:16.000Z,en,Köpenick
128,1474208533121933316,"I love the people living in Am Adlergestell, they love their dogs so much. #Berlin #Treptow #Koepenick",2021-12-24T02:41:18.000Z,en,Köpenick
129,1474111223331528708,@_MiiNELii_ @fcunion @fcunion_en @StadionAdAF @christianarbeit Thank you. Merry Christmas and hopefully I can bring it to Köpenick to show you all in 2022. 🙏🤞,2021-12-23T20:14:37.000Z,en,Köpenick
130,1474088051919884290,"I love the people living in Freystadter Weg, they are known to breathe perfectly. #Berlin #Treptow #Koepenick",2021-12-23T18:42:33.000Z,en,Köpenick
131,1473746392388538368,"I love the people living in Gustelstraße, they make very colorful wooden doors. #Berlin #Treptow #Koepenick",2021-12-22T20:04:55.000Z,en,Köpenick
132,1475914884990713860,"I love the people living in Schmollerstraße, they eat ripe fruits. #Berlin #Treptow #Koepenick",2021-12-28T19:41:44.000Z,en,Köpenick
133,1475840174776983552,"I love the people living in Dahlwitzer Landstraße, they would tell you all about pool sticks. #Berlin #Treptow #Koepenick",2021-12-28T14:44:52.000Z,en,Köpenick
134,1475724567616258048,"I love the people living in Keplerstraße, they know everything about candy wrappers. #Berlin #Treptow #Koepenick",2021-12-28T07:05:29.000Z,en,Köpenick
